pH,3:1 loc,3:1 err,2:1 loc,2:1 err,DIBMA loc,DIBMA err,PMA loc,PMA err
3,1.94,0.13,1.7,0.09,13.1,5.27,6.35,0.4
4,0.35,0.01,0.64,0.02,9.47,3.42,5.92,0.33
5,0.24,0.03,0.21,0.07,4.28,1.97,5.75,0.28
5.5,0.3,0.02,0.37,0.02,5.48,2.31,5.8,0.3
5.8,7.67,1.48,6.66,0.48,5.38,0.28,6.35,0.4
6,7.82,0.6,7.13,0.36,5.23,0.27,5.92,0.33
6.2,10.67,1.01,12.19,1.47,4.61,0.19,5.75,0.28
6.4,12.74,1.22,10.71,1.27,5.17,0.25,5.8,0.3
6.5,15.09,1.78,12.74,1.23,5.8,2.13,5.99,0.42
6.6,13.97,1.48,11.04,0.77,5.2,0.26,5.69,0.32
6.8,12.18,0.9,10.28,0.88,4.82,0.24,5.99,0.42
7,8.72,0.55,8.87,0.58,4.66,0.22,5.59,0.18
7.2,9.85,0.99,8.09,0.55,4.66,0.23,5.46,0.21
7.4,7.83,0.95,8.25,1.06,4.68,0.23,5.3,0.27
7.5,7.37,0.86,8.81,0.66,5.07,2.02,5.46,0.21
7.6,4.36,1.18,3.71,0.71,4.2,0.2,5.78,0.29
7.8,4,2.35,4.46,2.07,4.08,0.12,6.33,0.4
8,4.28,1.86,4.39,3.31,4.11,0.12,5.57,0.32
8.5,3.28,0.85,3.18,0.74,4.91,2.01,5.78,0.29
9,2.78,0.83,2.99,0.9,5.67,2.05,6.33,0.4
10,3.24,0.75,3.21,0.78,4.52,1.87,5.57,0.32